iter	RMSE
0	3738.347741
1	3458.950102
2	3196.456362
3	2961.205228
4	2739.821271
5	2537.658276
6	2348.185425
7	2174.170044
8	2011.399108
9	1862.293836
10	1725.382635
11	1595.958095
12	1477.856768
13	1368.163392
14	1265.69687
15	1171.607736
16	1085.168774
17	1005.71471
18	931.7397203
19	863.0799884
20	799.290705
21	741.1824934
22	687.7655302
23	636.9972166
24	590.735604
25	548.5147861
26	508.6741612
27	471.7757052
28	438.1868956
29	407.4419953
30	379.0909439
31	352.3985563
32	328.1743185
33	305.9955421
34	286.0894745
35	267.6357914
36	250.8026922
37	235.3126421
38	220.9032002
39	207.4347954
40	195.0928617
41	183.9363044
42	174.1239862
43	164.9110993
44	156.492803
45	148.7949643
46	141.8797571
47	135.5033365
48	129.8029656
49	124.3336693
50	119.7620678
51	115.4880936
52	111.6558615
53	108.0188777
54	104.6421413
55	101.4073115
56	98.42088076
57	96.0092001
58	93.6765793
59	91.50005622
60	89.53520087
61	87.82161685
62	86.13086117
63	84.5690175
64	83.21148155
65	81.8638824
66	80.69045727
67	79.43453621
68	78.38458631
69	77.43837697
70	76.40124663
71	75.53135435
72	74.6607538
73	73.90345427
74	72.91081766
75	72.26743582
76	71.44138416
77	70.71600281
78	70.01903804
79	69.25500875
80	68.55648018
81	68.05811557
82	67.52005239
83	67.0806336
84	66.36404839
85	65.92611818
86	65.27966916
87	64.79350887
88	64.28936542
89	63.82369012
90	63.32638743
91	62.72582535
92	62.34138576
93	61.99345466
94	61.69997953
95	61.35147575
96	61.00734553
97	60.63249084
98	60.13582384
99	59.87101424
100	59.37653708
101	58.98063508
102	58.46232269
103	58.07468395
104	57.65158312
105	57.42708913
106	57.21535838
107	56.83630589
108	56.61426317
109	56.03222079
110	55.73367722
111	55.44406275
112	55.09138957
113	54.90886756
114	54.71840641
115	54.33767993
116	53.98486066
117	53.71723713
118	53.42720627
119	53.2152243
120	53.02063067
121	52.54932302
122	52.29993205
123	52.05870227
124	51.78281727
125	51.44936236
126	51.23011135
127	50.94347888
128	50.72674926
129	50.47572082
130	50.16788836
131	49.81396235
132	49.70216102
133	49.42809209
134	49.32306113
135	49.0568093
136	48.82547043
137	48.6208245
138	48.38821037
139	48.10122834
140	47.81080023
141	47.53849578
142	47.28887129
143	47.02240994
144	46.84710158
145	46.59648365
146	46.42977677
147	46.22487963
148	46.08193079
149	45.90461061
150	45.69108667
151	45.45487576
152	45.16932983
153	45.0677684
154	44.9312085
155	44.69772431
156	44.44935059
157	44.32941463
158	44.19182952
159	44.022983
160	43.82833462
161	43.62965263
162	43.53113999
163	43.30468457
164	43.13942167
165	42.93151881
166	42.85450477
167	42.64069234
168	42.46331964
169	42.18158999
170	42.00694737
171	41.88288614
172	41.74828311
173	41.57686036
174	41.42314038
175	41.2338498
176	41.09289137
177	40.97937451
178	40.80228668
179	40.62942196
180	40.50790247
181	40.36345478
182	40.22874777
183	40.17750443
184	40.06487367
185	39.88875861
186	39.70255062
187	39.53472199
188	39.50408955
189	39.36884996
190	39.2830628
191	39.17465163
192	39.12854486
193	38.98725968
194	38.86096887
195	38.73323169
196	38.67744207
197	38.57250272
198	38.42727775
199	38.30477075
200	38.24004343
201	38.12887228
202	37.97788241
203	37.88456997
204	37.84566466
205	37.75261352
206	37.71406844
207	37.5744795
208	37.4904978
209	37.35347255
210	37.27266935
211	37.21643631
212	37.12178927
213	37.03155771
214	36.88169645
215	36.76543537
216	36.65893744
217	36.59973733
218	36.5280995
219	36.4013761
220	36.27129774
221	36.23609849
222	36.21100395
223	36.10875891
224	36.03433398
225	35.99056907
226	35.89057102
227	35.76058196
228	35.69161344
229	35.59652853
230	35.4360994
231	35.32373552
232	35.26157032
233	35.24159819
234	35.1541195
235	35.05802098
236	34.94672986
237	34.87461821
238	34.80255671
239	34.69511315
240	34.65648127
241	34.63079597
242	34.51614249
243	34.44650944
244	34.3349997
245	34.27291779
246	34.20021842
247	34.14113158
248	34.06085539
249	34.02633108
250	33.97900845
251	33.87455325
252	33.79307332
253	33.73926079
254	33.69097909
255	33.57659987
256	33.49613611
257	33.36454236
258	33.28335172
259	33.22461647
260	33.16973978
261	33.08145911
262	33.05014755
263	33.02031047
264	32.93411015
265	32.88408861
266	32.8359471
267	32.7701505
268	32.72947048
269	32.62135311
270	32.56211776
271	32.50722058
272	32.41587592
273	32.39631358
274	32.34346251
275	32.29318408
276	32.19802252
277	32.13474496
278	32.05184887
279	31.93699947
280	31.90989505
281	31.85031276
282	31.83084687
283	31.73164293
284	31.66123628
285	31.60643895
286	31.53275795
287	31.45872313
288	31.41650694
289	31.37408153
290	31.32662807
291	31.27771746
292	31.25867707
293	31.22344184
294	31.15534091
295	31.12858306
296	31.0537255
297	30.98039553
298	30.92762334
299	30.8328771
300	30.76037104
301	30.71422204
302	30.68342721
303	30.66759765
304	30.64472987
305	30.62323028
306	30.60515463
307	30.52441376
308	30.49279678
309	30.43044739
310	30.33910739
311	30.30406334
312	30.2735685
313	30.25974121
314	30.2432793
315	30.16798602
316	30.1272716
317	30.10599766
318	30.04154195
319	30.01512721
320	29.97895208
321	29.92473961
322	29.86625072
323	29.78798969
324	29.76036891
325	29.7022194
326	29.62562782
327	29.56833273
328	29.5312343
329	29.47338644
330	29.44144993
331	29.4135252
332	29.39580859
333	29.36988534
334	29.33609446
335	29.26597041
336	29.19356955
337	29.16493712
338	29.14895598
339	29.12321095
340	29.05157321
341	29.0176326
342	28.97020565
343	28.93819504
344	28.88272564
345	28.83873587
346	28.77236413
347	28.7155833
348	28.66214233
349	28.6428597
350	28.6009452
351	28.58646293
352	28.53126551
353	28.47094185
354	28.41519404
355	28.39308678
356	28.34429148
357	28.32104206
358	28.27158866
359	28.21523412
360	28.15731498
361	28.07334954
362	28.01456056
363	27.99824886
364	27.98670747
365	27.96089851
366	27.91957907
367	27.87580548
368	27.83816176
369	27.80126467
370	27.78151971
371	27.75577837
372	27.73094919
373	27.6811144
374	27.65808402
375	27.646521
376	27.5924341
377	27.55750988
378	27.50587313
379	27.4615602
380	27.39094824
381	27.3736049
382	27.30277932
383	27.28537885
384	27.23382145
385	27.21614278
386	27.19807673
387	27.16328215
388	27.12048307
389	27.0727571
390	27.02006666
391	26.95220085
392	26.93023667
393	26.89284597
394	26.85632343
395	26.81382043
396	26.80215578
397	26.78121563
398	26.69828899
399	26.65661032
400	26.63903331
401	26.56114151
402	26.52589006
403	26.50919272
404	26.49786863
405	26.42659756
406	26.40879435
407	26.35407768
408	26.28447229
409	26.24313928
410	26.20286352
411	26.14218482
412	26.11022715
413	26.06476679
414	26.04055829
415	26.00721224
416	25.96882994
417	25.91532263
418	25.87684763
419	25.85522712
420	25.81804796
421	25.7851579
422	25.76226364
423	25.71837892
424	25.67681248
425	25.65981806
426	25.63639691
427	25.62410779
428	25.59695241
429	25.56497452
430	25.52911096
431	25.50761828
432	25.47288803
433	25.43888456
434	25.40276127
435	25.3897541
436	25.35675965
437	25.30974657
438	25.29765133
439	25.24454936
440	25.21780405
441	25.18106196
442	25.17256404
443	25.14408293
444	25.10618667
445	25.06877559
446	25.03941615
447	25.01411063
448	24.98306932
449	24.96109141
450	24.95162478
451	24.93517687
452	24.91527334
453	24.89393431
454	24.8612197
455	24.80688775
456	24.77067104
457	24.75210588
458	24.72700356
459	24.68124754
460	24.65900366
461	24.61747314
462	24.60541736
463	24.59562347
464	24.56538877
465	24.52568375
466	24.50077473
467	24.46391033
468	24.43468948
469	24.40534933
470	24.38676927
471	24.37729055
472	24.35413325
473	24.31832696
474	24.28445012
475	24.26698864
476	24.23741527
477	24.21493222
478	24.19389586
479	24.14387735
480	24.12543996
481	24.08841354
482	24.05651694
483	24.03719195
484	24.01483886
485	23.99360359
486	23.96484239
487	23.9450008
488	23.91809676
489	23.90393078
490	23.87950447
491	23.86236746
492	23.84282882
493	23.81045411
494	23.79218976
495	23.7746382
496	23.76475113
497	23.74499848
498	23.72183143
499	23.71240315
500	23.69275617
501	23.6745436
502	23.63623272
503	23.59719614
504	23.56149814
505	23.54423199
506	23.50712142
507	23.4912921
508	23.46378491
509	23.44702458
510	23.42879057
511	23.4132955
512	23.38535645
513	23.36017539
514	23.33762478
515	23.32793976
516	23.30371295
517	23.29643147
518	23.27973876
519	23.24839674
520	23.21785643
521	23.18865465
522	23.16232424
523	23.14068155
524	23.11920587
525	23.10627926
526	23.07968627
527	23.065919
528	23.04731606
529	23.01640093
530	22.99319301
531	22.96933748
532	22.95785427
533	22.93454204
534	22.91953031
535	22.86510716
536	22.84308447
537	22.83597909
538	22.82385603
539	22.79342499
540	22.78230301
541	22.7617242
542	22.72324135
543	22.70877587
544	22.68517937
545	22.66637821
546	22.65018982
547	22.64310932
548	22.62963921
549	22.61585731
550	22.6033935
551	22.57817897
552	22.55346391
553	22.52282488
554	22.4767738
555	22.45697401
556	22.44665426
557	22.43417578
558	22.42014712
559	22.40075508
560	22.3848025
561	22.37262462
562	22.3291011
563	22.30672789
564	22.29276468
565	22.27398008
566	22.24393586
567	22.20369389
568	22.19097645
569	22.16960335
570	22.16098257
571	22.15271751
572	22.13835006
573	22.12593238
574	22.10914595
575	22.09016861
576	22.0584501
577	22.05152003
578	22.04444187
579	22.03351879
580	21.99373884
581	21.97940199
582	21.96468278
583	21.94849347
584	21.93624509
585	21.92156518
586	21.89067993
587	21.85260047
588	21.84239094
589	21.83288417
590	21.80903407
591	21.79312963
592	21.77581196
593	21.76423267
594	21.75664374
595	21.74047127
596	21.72158299
597	21.70355408
598	21.67734835
599	21.66705116
600	21.64758655
601	21.62906653
602	21.62171811
603	21.61609578
604	21.60017975
605	21.57965456
606	21.55902822
607	21.55393164
608	21.52105047
609	21.49640053
610	21.47415498
611	21.46659262
612	21.45723023
613	21.44694033
614	21.42691926
615	21.42058261
616	21.40420861
617	21.38997948
618	21.37388515
619	21.36321465
620	21.35565963
621	21.34654805
622	21.32877427
623	21.30607074
624	21.28644797
625	21.26687969
626	21.25936286
627	21.24057822
628	21.2189461
629	21.18713888
630	21.18081664
631	21.1647976
632	21.13359008
633	21.12098986
634	21.10714135
635	21.0750728
636	21.03273857
637	21.00306134
638	20.99409456
639	20.98124013
640	20.96825462
641	20.94007783
642	20.9158908
643	20.90521834
644	20.89273222
645	20.8870175
646	20.88121741
647	20.86305026
648	20.85031664
649	20.83863788
650	20.83064913
651	20.80578632
652	20.78101565
653	20.76705312
654	20.74130291
655	20.72576217
656	20.70985982
657	20.68124308
658	20.66468488
659	20.65771845
660	20.64681868
661	20.63630586
662	20.63018196
663	20.6154182
664	20.60013235
665	20.55867563
666	20.53906661
