iter	RMSE
0	3739.735658
1	3465.351039
2	3211.163163
3	2980.440906
4	2762.200277
5	2565.023874
6	2381.841619
7	2212.231809
8	2056.554449
9	1915.371839
10	1783.419094
11	1661.501305
12	1550.703211
13	1448.851945
14	1355.824737
15	1272.292369
16	1196.550092
17	1126.282719
18	1062.566022
19	1005.117398
20	952.6379907
21	905.7037864
22	863.0925685
23	825.0276801
24	790.7698368
25	761.4891575
26	734.1181442
27	709.5749469
28	688.675413
29	670.5143321
30	653.6872506
31	638.80256
32	625.9693305
33	614.7649005
34	604.4105495
35	595.8634523
36	587.9333897
37	580.7741135
38	574.7391931
39	569.6250538
40	565.3707172
41	561.1445745
42	557.2214895
43	554.0202787
44	551.1343081
45	548.5205464
46	546.2267331
47	543.1615531
48	541.0902738
49	539.5686315
50	537.0586547
51	535.308014
52	533.8083272
53	531.9506884
54	529.8667726
55	528.6866472
56	527.4833213
57	526.4083315
58	525.6441694
59	525.0438634
60	523.5003517
61	521.8101974
62	520.8943917
63	520.4239128
64	519.8121985
65	519.0038357
66	518.4995608
67	517.248993
68	516.9346603
69	516.1670064
70	515.6792266
71	514.9661571
72	514.3589802
73	513.6463827
74	513.4019677
75	512.0449479
76	511.7393526
77	510.6693852
78	509.7857823
79	509.0682504
80	508.7978709
81	506.7789006
82	505.9591132
83	505.5785321
84	505.1274952
85	504.8743503
86	504.1775717
87	503.8732668
88	503.4204989
89	502.9651726
90	502.5731806
91	501.4325412
92	500.8218305
93	500.2567898
94	499.9305292
95	499.5678908
96	499.2892158
97	496.8692122
98	494.5023061
99	494.0695597
100	493.1497945
101	492.5490627
102	492.3040352
103	492.0687708
104	491.3906633
105	490.9981889
106	490.7828927
107	490.6147737
108	489.925102
109	489.6830759
110	488.8032216
111	488.5621636
112	488.3656668
113	487.6743489
114	487.0746608
115	486.8217733
116	486.6431396
117	485.893298
118	485.708541
119	485.3932249
120	485.2429849
121	484.9218926
122	484.5163505
123	484.1771917
124	484.0613436
125	483.844523
126	483.4880702
127	483.2942034
128	483.113341
129	482.7901301
130	482.1395502
131	481.5312905
132	481.3871133
133	481.1995662
134	481.0118775
135	479.3934116
136	478.9912442
137	478.7921742
138	478.6343064
139	478.5167142
140	478.4360477
141	478.1811309
142	476.2748489
143	476.0085665
144	475.1317534
145	474.9933164
146	474.8109287
147	474.5806543
148	473.4173957
149	473.2660199
